id,tenCumRap,diaChi,maHeThongRap,deletedBy,isDeleted,deletedAt,createdAt,updatedAt
1,BHD Star Cineplex - 3/2,"L5-Vincom 3/2, 3C Đường 3/2, Q.10",1,0,0,,2025-12-07 17:36:06,2025-12-07 17:36:06
2,BHD Star Cineplex - Bitexco,"L3-Bitexco Icon 68, 2 Hải Triều, Q.1",1,0,0,,2025-12-07 17:40:08,2025-12-07 17:40:08
3,BHD Star Cineplex - Phạm Hùng,"L4-Satra Phạm Hùng, C6/27 Phạm Hùng, Bình Chánh",1,0,0,,2025-12-07 17:49:19,2025-12-07 17:49:19
4,BHD Star Cineplex - Vincom Lê Văn Việt,"L4-Vincom Plaza, 50 Lê Văn Việt, Q.9",1,0,0,,2025-12-07 17:52:49,2025-12-07 17:52:49
5,BHD Star Cineplex - Vincom Quang Trung,"B1-Vincom QT, 190 Quang Trung, Gò Vấp",1,0,0,,2025-12-08 14:55:16,2025-12-08 14:55:16
6,BHD Star Cineplex - Vincom Thảo Điền,"L5-Megamall, 159 XL Hà Nội, Q.2",1,0,0,,2025-12-08 14:55:16,2025-12-08 14:55:16
7,CGV - Aeon Bình Tân,"Tầng 3, TTTM Aeon Mall Bình Tân, Số 1 đường số 17A, khu phố 11, Bình Trị Đông B, Bình Tân",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
8,CGV - Aeon Tân Phú,"30 Bờ Bao Tân Thắng, Sơn Kỳ, Tân Phú",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
9,CGV - CGV Saigonres Nguyễn Xí,"Tầng 4-5, Saigonres Plaza, 79/81 Nguyễn Xí, P. 26, Bình Thạnh",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
10,CGV - Crescent Mall,"Lầu 5, Crescent Mall, Đại lộ Nguyễn Văn Linh, Phú Mỹ Hưng, Q. 7",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
11,CGV - CT Plaza,"60A Trường Sơn,P. 2, Tân Bình",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
12,CGV - Golden Plaza,"Tầng 4, Trung tâm thương mại Golden Plaza, 922 Nguyễn Trãi, P. 14, Q. 5",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
13,CGV - Hoàng Văn Thụ,"Tầng 1 và 2 Gala Center, 415 Hoàng Văn Thụ, P. 2, Tân Bình",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
14,CGV - Hùng Vương Plaza,"Lầu 7, 126 Hùng Vương, Q. 5",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
15,CGV - IMC Trần Quang Khải,"T2&3, TTVH Đa Năng, 62 Trần Quang Khải, P.Tân Định, Q.1",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
16,CGV - Liberty Citypoint,"Tầng M - 1, khách sạn Liberty Center Saigon Citypoint, 59 - 61 Pateur, Q. 1",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
17,CGV - Pandora City,"Lầu 3, Pandora City, 1/1 Trường Chinh, Tân Phú",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
18,CGV - Paragon,"Tầng 5, toà nhà Parkson Paragon, 03 Nguyễn Lương Bằng, Q. 7",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
19,CGV - Parkson Đồng Khởi,"Tầng 5 Parkson Đồng Khởi, 35bis-45 Lê Thánh Tôn, Bến Nghé, Q.1",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
20,CGV - Pearl Plaza,"Lầu 5, Pearl Plaza, 561 Điện Biên Phủ, Bình Thạnh",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
21,CGV - Satra Củ Chi,"T3, TTTM Satra Củ Chi, Số 1239, Tỉnh Lộ 8, Ấp Thạnh An, Trung An, Củ Chi, TP.HCM",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
22,CGV - Sư Vạn Hạnh,"T6 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
23,CGV - Vincom Đồng Khởi,"Tầng 3, TTTM Vincom Center B, 72 Lê Thánh Tôn, Bến Nghé, Q. 1",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
24,CGV - Vincom Gò Vấp,"Tầng 5 TTTM Vincom Plaza Gò Vấp, 12 Phan Văn Trị, P. 7, Gò Vấp",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
25,CGV - Vincom Landmark 81,"T B1 , TTTM Vincom Center Landmark 81, 772 Điện Biên Phủ, P.22, Q. Bình Thạnh, HCM",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
26,CGV - Vincom Thủ Đức,"Tầng 5 Vincom Thủ Đức, 216 Võ Văn Ngân, Bình Thọ, Thủ Đức",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
27,CGV - VivoCity,"Lầu 5, Trung tâm thương mại SC VivoCity - 1058 Nguyễn Văn Linh, Q. 7",2,0,0,,2025-12-08 15:02:50,2025-12-08 15:02:50
28,CNS - Hai Bà Trưng,"135 Hai Bà Trưng, Bến Nghé, Q.1",3,0,0,,2025-12-08 15:24:23,2025-12-08 15:24:23
29,CNS - Quốc Thanh,"271 Nguyễn Trãi, Q.1",3,0,0,,2025-12-08 15:24:23,2025-12-08 15:24:23
30,GLX - Huỳnh Tấn Phát,"1362 Huỳnh Tấn Phát, KP1, Phú Mỹ, Q. 7",4,0,0,,2025-12-08 15:28:27,2025-12-08 15:28:27
31,GLX - Kinh Dương Vương,"718bis Kinh Dương Vương, Q.6",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
32,GLX - Nguyễn Du,"116 Nguyễn Du, Q.1",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
33,GLX - Nguyễn Văn Quá,"119B Nguyễn Văn Quá, Đông Hưng Thuận, Q.12, TPHCM",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
34,GLX - Phạm Văn Chí,"Lầu 5, TTTM Platinum Plaza, 634 Phạm Văn Chí, Q.6",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
35,GLX - Quang Trung,"L3-Co.opmart Foodcosa, 304A Quang Trung, Gò Vấp",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
36,GLX - Tân Bình,"246 Nguyễn Hồng Đào, Tân Bình",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
37,GLX - Trung Chánh,"TTVH Q12 – 09, Q L 22, Trung Mỹ Tây , Q.12",4,0,0,,2025-12-08 15:28:28,2025-12-08 15:28:28
38,Lotte - Cantavil,"L7-Cantavil Premier, Xa Lộ Hà Nội, Q.2",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
39,Lotte - Cộng Hòa,"L4-Pico Plaza, 20 Cộng Hòa, Tân Bình",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
40,Lotte - Diamond,"L13-Diamond Plaza, 34 Lê Duẩn, Q.1",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
41,Lotte - Gò Vấp,"L3-Lotte Mart, 242 Nguyễn Văn Lượng, Gò Vấp",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
42,Lotte - Nam Sài Gòn,"L3-Lotte Mart NSG, 469 Nguyễn Hữu Thọ, Q.7",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
43,Lotte - Nowzone,"L5-Nowzone, 235 Nguyễn Văn Cừ, Q.1",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
44,Lotte - Phú Thọ,"L4-Lotte Mart Phú Thọ, Q.11",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
45,Lotte - Thủ Đức,"L2-Joy Citipoint, KCX Linh Trung, Thủ Đức",5,0,0,,2025-12-08 15:35:20,2025-12-08 15:35:20
46,MegaGS - Cao Thắng,"19 Cao Thắng, Q.3",6,0,0,,2025-12-08 15:41:07,2025-12-08 15:41:07
